Price,Close,High,Low,Open,Volume
Ticker,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS
Date,,,,,
2017-03-03,451.8150634765625,458.59301998833394,450.48893438173576,455.10578940728385,7085620
2017-03-06,462.47314453125,464.3395640049991,453.9270357937642,454.319955164828,4036291
2017-03-07,459.2806396484375,467.4829629174291,457.8071694795585,461.19616285911104,7114541
2017-03-08,454.6146240234375,461.2943730492406,452.9938129286309,461.09789838048954,5351597
2017-03-09,459.32977294921875,461.39263717960597,453.82881166079517,454.27086470224504,3837624
2017-03-10,460.80322265625,463.5045845104749,456.8739690501048,462.6696121236038,5766815
2017-03-14,461.4417419433594,474.4573951221769,460.16474645279504,472.492768227261,6348198
2017-03-15,465.0762939453125,468.1214415208887,462.32579842250595,466.59886773310063,4801312
2017-03-16,472.4436340332031,473.4750510952888,467.7285118032353,470.2334289191691,6272947
2017-03-17,468.07232666015625,475.63615169490276,463.3572344163048,472.83655255981733,6338248
2017-03-20,467.5811767578125,469.7422782213529,462.42403142592485,468.1214371347847,2871104
2017-03-21,465.3709716796875,469.5949072943042,462.3257941543977,469.5458036156003,4685410
2017-03-22,451.76593017578125,461.63819790920894,450.3906974006575,461.63819790920894,4695648
2017-03-23,464.5360107421875,468.563501763392,453.1411690643259,453.1411690643259,8665384
2017-03-24,462.0802307128906,466.40240380218324,459.2806314464513,462.4240464083879,4296510
2017-03-27,456.5301513671875,460.85232431947736,453.92702686006726,460.7049833054566,4417413
2017-03-28,464.04486083984375,464.63425489658874,459.2315310024424,459.2315310024424,2982614
2017-03-29,460.75408935546875,466.598866090256,455.4004992996551,466.50062875446133,6680569
2017-03-30,460.1156005859375,461.49083338032545,454.6637730883249,455.3022708166664,9482785
2017-03-31,457.6106872558594,464.1430651400432,456.28455821703716,458.24918494778865,6400088
2017-04-03,462.0802307128906,463.94662023124124,459.32976510456626,459.9682628374458,2951896
2017-04-05,465.1253967285156,466.5988668343082,458.98593795438,462.08021918097916,5287168
2017-04-06,464.8307189941406,470.03696809158987,462.2766981249324,465.9112397661131,6703078
2017-04-07,460.0173645019531,472.05070394683946,458.39655334779906,460.1647354978253,8089461
2017-04-10,466.5006103515625,469.84046979204777,459.28060113394787,463.308091920044,5437523
2017-04-11,463.8974914550781,469.88960903958116,462.76783706912204,469.44755602959503,4887918
2017-04-12,456.33367919921875,463.2098730176074,453.43587264816483,460.4103038023814,5991598
2017-04-13,445.331787109375,455.1549211363698,443.2198192891363,453.6814510323206,5930185
2017-04-17,441.2552185058594,447.6402559999505,439.38879894840125,444.0056842044906,4913930
2017-04-18,435.8524475097656,447.68931144380946,434.67365949289234,444.00563636336125,4235130
2017-04-19,435.2139587402344,441.5498924359523,430.54796988801905,435.1648550592367,6319332
2017-04-20,436.0980529785156,439.92906930494786,434.28076716354127,439.92906930494786,3288900
2017-04-21,432.8072814941406,440.5184475275264,429.8603413522983,438.8485027893523,5325590
2017-04-24,435.9997863769531,441.0586941337013,430.9899822965734,432.0213993229055,6214069
2017-04-25,437.7679748535156,439.83083905570743,435.4595322933921,437.96444953099177,5894090
2017-04-26,442.8268737792969,446.36320805519387,437.6206246910501,438.1117813966518,8438042
2017-04-27,447.2964172363281,452.7482446706643,444.6932926954093,446.952601547265,10589249
2017-04-28,450.78363037109375,453.8288080222195,446.3632199033448,449.015478175125,5126904
2017-05-02,443.2689208984375,449.11369760833946,440.61666273240235,448.5243035739066,6071958
2017-05-03,438.7011413574219,447.9348807098227,436.78561836325684,443.3671296981492,5158586
2017-05-04,428.7798156738281,440.17465754984346,427.4536865370034,438.7502910736564,6204022
2017-05-05,412.1787109375,428.77980149464855,410.60700349315715,428.77980149464855,9487539
2017-05-08,415.17474365234375,421.117757582183,409.8702574011356,417.2376077438762,7427873
