Price,Close,High,Low,Open,Volume
Ticker,TI.NS,TI.NS,TI.NS,TI.NS,TI.NS
Date,,,,,
2017-03-06,13.613883018493652,13.961683333537058,13.564197123818936,13.613883018493652,138713
2017-03-07,13.663568496704102,13.762940283024694,13.464825871742505,13.56419671038351,60992
2017-03-08,13.613883018493652,13.812625649512905,13.514512176823835,13.514512176823835,81761
2017-03-09,13.663568496704102,13.812625228505402,13.514511764902801,13.812625228505402,66143
2017-03-10,13.564196586608887,13.96168278058457,13.51451164158156,13.762940157436518,81924
2017-03-14,13.514511108398438,13.762939614452236,13.46482521765177,13.613881942212231,83758
2017-03-15,13.16671085357666,13.911996373590434,12.620167949363983,13.613881976049015,1102583
2017-03-16,13.067338943481445,13.365453338094612,12.967968110396747,13.315767447712496,188914
2017-03-17,13.117024421691895,13.365452918116663,13.01765359172969,13.266082088154459,147507
2017-03-20,13.365453720092773,13.762939906830733,13.216396992365766,13.216396992365766,167496
2017-03-21,13.266082763671875,13.514511272746782,12.918282471895184,13.514511272746782,118019
2017-03-22,13.117024421691895,13.365452918116663,13.06733853287104,13.266082088154459,61904
2017-03-23,13.067338943481445,13.315767447712496,13.017654000778863,13.216396614627797,77989
2017-03-24,13.365453720092773,13.663568123226352,12.967968481034378,13.216396992365766,301407
2017-03-27,13.216397285461426,13.415139909398073,13.017654661524778,13.216397285461426,85031
2017-03-28,13.16671085357666,13.564196085178855,13.067339071836338,13.067339071836338,279910
2017-03-29,13.16671085357666,13.415139360247919,13.017654128645724,13.315767578507597,219282
2017-03-30,13.663568496704102,14.011368801146586,13.11702556730002,13.11702556730002,376976
2017-03-31,13.613883018493652,13.91199743886234,13.464826282149117,13.514512176823835,757659
2017-04-03,14.359167098999023,15.30319520870936,13.216396378983276,13.464824878784919,628630
2017-04-05,14.359167098999023,14.90570998809854,13.91199598889197,14.50822476748772,164785
2017-04-06,14.160425186157227,14.557910426345954,13.862310782175898,14.35916780625159,102046
2017-04-07,13.911996841430664,14.110739463915188,13.812625056348615,13.96168273397169,105138
2017-04-10,13.315767288208008,14.061052791973669,13.166710566526685,14.061052791973669,156872
2017-04-11,13.117024421691895,13.365452918116663,13.01765359172969,13.117024421691895,192963
2017-04-12,12.918282508850098,13.117025127142648,12.818910725864043,13.117025127142648,246645
2017-04-13,12.967967987060547,13.067338819200147,12.769225375101822,13.01765387697011,132418
2017-04-17,13.017654418945312,13.266082931156639,12.769225906733986,12.967968526967134,168808
2017-04-18,12.818910598754883,13.067339106077107,12.719539764433723,13.0176541627563,216934
2017-04-19,12.918282508850098,12.967968400343125,12.818910725864043,12.818910725864043,102987
2017-04-20,12.669854164123535,12.967968569285885,12.669854164123535,12.967968569285885,289741
2017-04-21,12.570481300354004,13.117024171604067,12.172996092724588,12.918281567789359,376305
2017-04-24,12.62016773223877,12.769225402284771,12.570481842223437,12.769225402284771,131038
2017-04-25,12.62016773223877,12.818910344620576,12.520796899887632,12.769225402284771,230276
2017-04-26,12.520795822143555,12.868595126954546,12.471109936404998,12.719538417418327,186497
2017-04-27,12.570481300354004,12.669853076101102,12.471110472286394,12.620167188227553,119257
2017-04-28,12.967967987060547,13.067338819200147,12.57048181546357,12.669853595282696,194142
2017-05-02,12.918282508850098,13.117025127142648,12.719539890557545,12.818910725864043,72240
2017-05-03,12.818910598754883,13.067339106077107,12.769225655434077,13.067339106077107,61737
2017-05-04,12.818910598754883,13.0176541627563,12.769225655434077,12.967968271755945,78035
2017-05-05,12.76922607421875,12.96796869705866,12.620168396329131,12.76922607421875,76729
2017-05-08,12.868596076965332,12.918281966371897,12.620167577612026,12.76922524583172,32943
2017-05-09,12.76922607421875,12.868596911798916,12.669854288959003,12.868596911798916,29379
2017-05-10,12.719539642333984,12.918282256748046,12.669853751810583,12.669853751810583,142286
2017-05-11,12.868596076965332,13.067338686912073,12.620167577612026,12.719539356425155,414999
2017-05-12,12.669854164123535,12.967968569285885,12.669854164123535,12.967968569285885,100244
2017-05-15,12.570481300354004,12.81890979204226,12.570481300354004,12.81890979204226,86875
2017-05-16,12.62016773223877,12.769225402284771,12.520796899887632,12.570481842223437,310768
2017-05-17,12.62016773223877,12.818910344620576,12.471111009872297,12.669853622254104,239563
2017-05-18,12.570481300354004,12.719538963974651,12.520796360159943,12.620167188227553,45406
2017-05-19,12.471110343933105,12.620167058340165,12.421424456570925,12.520796231295284,45542
2017-05-22,12.471110343933105,12.570481170977986,12.421424456570925,12.471110343933105,136727
2017-05-23,12.123311042785645,12.520797225567854,12.073625151477925,12.421425442952414,126276
