Price,Close,High,Low,Open,Volume,return_1,return_3,ma20,ma50,ma200,ma20_50,rsi14,macd_diff,atr14,vol_20,vol_ratio,next_close,future_ret,label
2017-10-23,415.11669921875,417.3032938048764,401.577646649503,403.25623557808177,27455320.0,0.032805721463239346,0.07479829176959618,372.8751022338867,363.0019689941406,305.8199988555908,9.873133239746096,77.66749328975828,4.388318996344145,10.001276466341753,17991957.8,1.525977345278122,412.6871948242188,-0.005852581693541895,0
2017-10-24,412.6871948242188,418.6284844323052,410.0147394376654,418.6284844323052,13857773.0,-0.005852581693541858,0.0215964102605557,375.4559158325195,364.19331787109377,306.6945796966553,11.26259796142574,75.09890692916866,4.3894930941710335,9.902167075505899,18070142.1,0.7668878818612057,415.1829833984375,0.006047652084968996,1
2017-10-25,415.1829833984375,417.83335280720166,410.5889645428576,415.2713270795823,10011782.0,0.006047652084969046,0.0329706357636097,378.06985626220705,365.4984130859375,307.57692832946776,12.571443176269554,75.9778125104146,4.242870166725881,9.712325731851482,17859249.65,0.5605936529365891,418.4960021972656,0.007979659406341153,1
2017-10-26,418.4960021972656,423.08999202991583,411.2516132007852,415.22719720292406,16840049.0,0.007979659406341044,0.008140609580090219,380.88147735595703,367.0380670166016,308.50021965026855,13.843410339355444,77.13168739995982,4.053780507665351,9.864186667371424,18173044.95,0.9266498292571493,410.74359130859375,-0.018524456262350712,0
2017-10-27,410.74359130859375,422.6040850800436,408.9104008373966,419.6444831175931,11498547.0,-0.018524456262350664,-0.00470962884238002,383.76819000244143,368.3042889404297,309.3735189056396,15.463901062011757,68.80343536883571,3.132576658762126,10.137722208462536,17825529.55,0.6450606119580891,416.33148193359375,0.013604328206795536,1
2017-10-30,416.33148193359375,417.6787525621229,411.07488545436416,412.57675752533976,7823263.0,0.013604328206795469,0.002766246645648396,387.2147964477539,369.7129681396484,310.2774417114258,17.501828308105473,71.21594368945912,2.6449959484163337,9.908967854538721,16739311.6,0.4673587054798597,415.6026306152344,-0.0017506514640073009,0
2017-10-31,415.6026306152344,417.7671098544238,411.7816483214438,417.4137351173189,9504986.0,-0.0017506514640073245,-0.006913737686477073,390.7475387573242,371.1026531982422,311.1747073364258,19.644885559082013,70.45065932579067,2.0456134126089935,9.628717402998811,16381250.5,0.5802356785887621,420.7708740234375,0.012435540652262843,1
2017-11-01,420.7708740234375,423.0899546574313,417.7671003646452,418.65056667455,17571371.0,0.012435540652262933,0.02441251166670111,394.1532836914063,372.5590411376953,312.08450241088866,21.594242553710956,72.69160096157536,1.779252723531732,9.475760734370104,16342531.65,1.075192716545848,418.1426086425781,-0.006246310149102614,0
2017-11-02,418.1426086425781,422.51576884909,417.10454077046126,420.8813515665171,10277678.0,-0.006246310149102596,0.004350203593955548,396.97483978271487,374.01145324707034,312.98531951904295,22.96338653564453,69.79289026587935,1.2339764900265013,9.185436973245723,15911035.0,0.6459465396185728,417.568359375,-0.0013733335367144667,0
2017-11-03,417.568359375,422.2727787685376,415.2934504061956,422.2727787685376,4798537.0,-0.0013733335367144273,0.004729827520234098,399.65062561035154,375.47159484863283,313.88627830505374,24.179030761718707,69.14411870617025,0.6707357057174548,9.027857786752602,15619374.3,0.30721697987607605,411.9141540527344,-0.013540789658317547,0
2017-11-06,411.9141540527344,416.3314855975584,410.3681101274537,416.3314855975584,9757496.0,-0.01354078965831751,-0.021048795241017104,401.75878448486327,376.7214721679687,314.75118728637693,25.037312316894543,62.940220175799325,-0.19995856843533488,8.897314319666439,15457364.7,0.6312522340887771,400.51751708984375,-0.02766750511183356,0
2017-11-07,400.51751708984375,413.01850266325226,398.90521531277113,412.2896672445481,20447574.0,-0.02766750511183358,-0.04215091021207085,403.43846740722654,377.8052600097656,315.5746160888672,25.63320739746092,52.68023038901839,-1.5837283269655718,9.269883821867486,16037223.0,1.2750071505521872,392.1688232421875,-0.020844765812785857,0
2017-11-08,392.1688232421875,400.2083350873009,390.534435457974,398.6622909948172,17752793.0,-0.020844765812785826,-0.06082725274211276,404.4235305786133,378.72869995117185,316.3946479797363,25.694830627441434,46.67745192631256,-3.0184221155904662,9.320826522581935,16188261.45,1.0966460515128387,397.77874755859375,0.014304870718756215,1
2017-11-09,397.77874755859375,401.9310182146384,394.0461093570015,395.2387784516004,15007224.0,0.014304870718756302,-0.03431638936187409,405.7564529418945,379.9162927246094,317.25226135253905,25.84016021728513,50.73934064201657,-3.5121390846788128,9.35235284042972,16167590.45,0.9282288567620167,390.4240112304688,-0.018489515524057937,0
2017-11-10,390.4240112304688,397.9776033880813,388.3699613949833,397.9776033880813,13923102.0,-0.018489515524057976,-0.025201159571532017,406.0016143798828,380.8156579589844,318.07184104919435,25.185956420898435,45.81221942133428,-4.209558032799833,9.370587779906028,15931598.45,0.873930010456672,386.62506103515625,-0.0097303190532255,0
2017-11-13,386.62506103515625,393.9798788668545,385.8520243415109,390.9319334198506,9088619.0,-0.009730319053225522,-0.014136162485327564,405.97510681152346,381.50475830078125,318.88108154296873,24.470348510742213,43.46440717194384,-4.761577183030683,9.281821118865853,15310544.35,0.5936182798098879,391.6829223632813,0.013082083490871121,1
2017-11-14,391.6829223632813,395.3492739327239,385.631202719894,386.5146691005536,12481463.0,0.013082083490871144,-0.015324662850205506,406.1937652587891,382.2261071777344,319.7264576721191,23.967658081054708,47.33429133839078,-4.617451182915331,9.312981839863284,14334156.45,0.8707497398634853,390.3577270507813,-0.0033833369719165262,0
2017-11-15,390.3577270507813,393.4056432257304,387.8177575887077,390.7111017986682,15272059.0,-0.0033833369719165063,-0.0001697748544681188,406.4002746582031,382.90659423828123,320.55271797180177,23.493680419921873,46.43739647938458,-4.4413778697789095,9.046903539660383,14402817.2,1.0603522066502378,399.2585754394531,0.022801773275808408,1
2017-11-16,399.2585754394531,400.20829952837727,391.1528065457484,391.1528065457484,15160866.0,0.022801773275808346,0.032676398085710545,406.16505126953126,383.6800646972656,321.4344386291504,22.484986572265655,52.893659543976334,-3.591785636115519,9.104308463798638,13327263.45,1.1375828246270616,402.8145751953125,0.008906508149375082,1
2017-11-17,402.8145751953125,408.5570627754376,401.3126734139775,405.928778888923,12219276.0,0.008906508149375103,0.02842006172969347,406.20922698974607,384.46811340332033,322.3253935241699,21.74111358642574,55.21616031964798,-2.697491167265629,9.118178383240485,13537488.9,0.9026250060304757,406.7679748535156,0.009814440443934388,1
2017-11-20,406.7679748535156,408.3140482193454,399.76656132915537,400.2966234062105,9231195.0,0.009814440443934425,0.042038998245830905,405.7917907714844,385.37586975097656,323.2145317077637,20.415921020507824,57.71238337986083,-1.7905493358503843,9.077414705165454,12626282.65,0.7311094845480905,411.9362182617188,0.012705630058670076,1
2017-11-21,411.9362182617188,415.0725072752765,408.8220151675408,409.3962785586244,13082246.0,0.012705630058670092,0.0317529631224871,405.7542419433594,386.3975927734375,324.1290729522705,19.356649169921866,60.789351600751814,-0.8416142578965022,9.022208827779414,12587506.3,1.039304027994806,411.1411437988281,-0.0019300911831587012,0
2017-11-22,411.1411437988281,414.63080768063,407.9164814743861,414.1007161042799,11058315.0,-0.0019300911831586776,0.020670971499674007,405.5521499633789,387.39457946777344,325.03476333618164,18.157570495605455,60.06527782102411,-0.29475017738429354,8.857360069098307,12639832.95,0.8748782554123865,418.3193054199219,0.01745911770048009,1
2017-11-23,418.3193054199219,419.6003183844171,409.3300697720086,411.2516039623576,16031638.0,0.017459117700480142,0.028397836802580345,405.5433151245117,388.48344665527344,325.9830824279785,17.059868469238268,64.21010002630462,0.48094116781325624,8.958280679334752,12599412.4,1.2724115610343858,420.13037109375,0.004329385831261412,1
2017-11-24,420.13037109375,423.8409238591258,418.49598341354334,419.6444808201569,13987125.0,0.004329385831261412,0.0198917999165229,406.01265411376954,389.38545959472657,326.95124870300293,16.627194519042973,65.19172014432893,1.015782300264732,8.712804805039692,12723841.3,1.099284773380504,420.2408142089844,0.00026287819884778137,1
2017-11-27,420.2408142089844,422.95747110575553,416.9940951785287,418.4297390983496,10237135.0,0.000262878198847849,0.02213271658019411,406.20812072753904,390.33518188476563,327.9112024688721,15.872938842773408,65.25430555328109,1.2607809974058455,8.51641702805306,12844534.9,0.7970031674716379,416.70697021484375,-0.008409092774085613,0
2017-11-28,416.70697021484375,420.2408061667508,414.3878894499293,419.578228512325,10153618.0,-0.008409092774085636,-0.003854316987497386,406.26333770751955,391.2323376464844,328.8652648162842,15.031000061035172,61.44727329533996,1.0758253702061662,8.32616758026749,12876966.5,0.7885100889250585,417.8775329589844,0.0028090788679083338,1
